MSFT,FB,AMZN,GOOG,AAPL,2020-07-23 13:48:52.201749
0.5276,0.8409,0.8537,0.8312,0.8203
MSFT,FB,AMZN,GOOG,AAPL,2020-07-23 16:21:09.120664
0.5276,0.8409,0.8537,0.8312,0.8203
MSFT,FB,AMZN,GOOG,AAPL,2020-07-26 05:52:47.227462
0.4911,0.7093,0.7503,0.7409,0.7301
MSFT,FB,AMZN,GOOG,AAPL,2020-07-27 05:19:27.776323
0.4911,0.7093,0.7503,0.7409,0.7301
