Stock Name,Graham Present Intrinsic,Graham Future Intrinsic,Earnings Value,Sales Valuation,Book Valuation,EV/EBITDA valuation,Cash Flow Valuation,graham weighted,earnings weighted,sales weighted,book weighted,ev weighted,cashflow weighted,average,weighted average,Stock Price Today
MSFT,182.86,367.7970731707318,181.14,122.8,120.66,264.9,204.75,18.286,45.285,49.120000000000005,12.066,13.245,20.475,179.51833333333335,158.48,$228.91
FB,453.18,911.5047154471546,257.24,161.25,299.15,370.59,228.85,45.318000000000005,64.31,64.5,29.915,18.5295,22.885,295.04333333333335,245.46,$293.66
AMZN,2035.44,4093.9960975609765,818.91,1030.48,1034.53,1837.23,1341.84,203.544,204.7275,412.192,103.453,91.8615,134.184,1349.7383333333335,1149.96,$3401.8
GOOG,2584.91,5199.174146341464,1430.57,1546.83,2352.55,2127.41,1835.30,258.491,357.6425,618.732,235.25500000000002,106.37049999999999,183.53,1979.595,1760.02,$1644.41
AAPL,561.83,1130.050569105691,414.8,124.61,92.28,543.43,254.60,56.18300000000001,103.7,49.844,9.228,27.171499999999998,25.46,331.92499999999995,271.59,$499.23
