MSFT,FB,AMZN,GOOG,AAPL,2020-08-01 06:00:28.705060
0.4256,0.7268,0.9858,0.8492,0.4764
MSFT,FB,AMZN,GOOG,AAPL,2020-08-01 09:38:42.247257
0.4256,0.7268,0.9858,0.8492,0.4764

MSFT,FB,AMZN,GOOG,AAPL,2020-08-01 10:46:59.309406
0.4256,0.7268,0.9858,0.8492,0.4764

MSFT,FB,AMZN,GOOG,AAPL,2020-08-02 00:11:26.687080
0.4256,0.7268,0.9858,0.8492,0.4764
